7F,74,170,168,31,2523,313,519,168,38,1441,78
254,0,4,0,3,21,0,2,3,3,35,0
356,1,0,4,1,63,3,3,0,1,157,1
13,101,223,228,50,2956,312,588,132,26,1223,62
13H,127,371,343,96,4760,667,938,263,81,2811,117
330,5,11,7,7,238,21,76,15,1,93,3
93,1,2,1,1,57,3,6,7,1,170,0
207,1,1,0,3,99,0,4,1,0,41,1
11A,187,452,614,85,6718,1124,1643,431,113,2869,180
49,1,1,0,0,20,2,17,2,0,16,1
7D,125,247,303,27,3486,467,739,213,62,742,51
310,89,114,204,134,7443,547,1408,280,90,9482,117
263D,2,4,4,4,103,14,46,6,1,173,4
293,22,33,10,20,794,35,115,26,8,1446,16
14Q,5,17,19,1,320,21,48,7,4,36,1
165,528,151,216,216,7572,557,2640,461,185,7650,186
152A,55,77,109,45,1681,158,477,112,26,779,53
24A,26,29,16,38,877,92,353,54,14,813,17
327,4,5,5,1,179,3,12,3,2,167,1
397,3,5,9,4,487,11,32,8,4,434,8
193,5,4,5,11,185,5,48,14,7,92,1
285,22,26,25,32,1231,63,369,52,10,2160,23
138D,0,1,0,1,7,3,8,0,0,72,0
328A,10,6,10,10,147,22,55,18,4,250,8
18A,1,1,4,0,40,1,1,2,1,18,0
147,56,71,75,58,1903,231,577,96,27,1002,52
91B,1,2,0,4,49,0,3,0,0,34,0
75,1,2,5,14,249,8,23,6,5,427,3
339,29,12,8,31,337,11,106,20,6,403,8
19,28,23,33,32,1119,52,145,40,9,490,17
4F,0,0,0,0,0,0,0,0,0,0,0
45,8,22,9,29,496,18,94,18,8,178,5
304,71,100,52,91,4521,149,559,120,40,4734,45
156B,2,4,7,2,109,47,67,8,4,72,3
322,0,0,0,0,11,0,0,0,0,10,0
44A,1,7,4,3,317,5,63,6,1,128,1
366,14,5,3,94,116,8,28,5,2,387,1
51,1,6,2,3,75,8,243,5,6,444,1
326,46,104,96,59,1932,186,346,77,37,1720,35
223,3,8,0,8,188,4,11,5,2,51,3
394,13,11,13,19,618,23,87,25,9,867,12
318,2,4,6,6,211,5,19,4,1,208,5
67,0,1,1,1,21,1,2,0,1,15,0
337A,4,8,4,2,193,10,19,1,2,198,2
114,5,2,1,9,228,14,19,13,0,207,1
234,4,7,6,7,559,24,130,22,4,210,8
290,10,7,9,11,481,14,42,21,0,748,5
71,1,3,0,5,54,2,44,3,2,92,2
12I,7,30,34,18,334,78,170,44,46,843,14
53,0,0,1,0,1,0,1,0,0,2,0
146,6,8,8,12,457,22,56,22,5,642,6
8B,205,492,493,69,6203,825,1251,300,75,2801,129
369,4,6,6,12,171,4,40,5,2,78,2
100,5,13,5,24,386,11,36,20,9,302,3
55A,0,0,0,0,40,0,30,1,1,6,0
139B,2,2,1,4,26,0,13,7,1,47,0
39,0,1,1,0,11,1,0,0,0,15,0
13A,160,436,471,74,5886,674,1048,275,76,2513,123
14P,42,72,124,17,1004,181,372,59,31,393,26
